Group Pair,P-Value
"0,0,0,0,0 and 0,0,0,0,1",1.0128320048164901e-12
"0,0,0,0,0 and 0,0,1,0,0",1.1509202714085733e-36
"0,0,0,0,0 and 0,0,1,0,1",7.519252017116213e-73
"0,0,0,0,0 and 0,0,1,1,0",2.0808869823462375e-81
"0,0,0,0,0 and 0,0,1,1,1",7.991715566316587e-71
"0,0,0,0,0 and 0,1,1,0,0",5.512406700693228e-20
"0,0,0,0,0 and 0,1,1,1,0",6.441421145250314e-61
"0,0,0,0,0 and 0,1,1,1,1",4.416899659084358e-52
"0,0,0,0,0 and 1,0,0,0,0",1.498656725832206e-109
"0,0,0,0,1 and 0,0,1,0,0",7.151692526131521e-39
"0,0,0,0,1 and 0,0,1,0,1",4.3698417959793267e-44
"0,0,0,0,1 and 0,0,1,1,0",2.0110937805851863e-57
"0,0,0,0,1 and 0,0,1,1,1",2.9064296902981532e-53
"0,0,0,0,1 and 0,1,1,0,0",1.7125030612740796e-19
"0,0,0,0,1 and 0,1,1,1,0",6.024209003475483e-42
"0,0,0,0,1 and 0,1,1,1,1",2.2287966698787795e-42
"0,0,0,0,1 and 1,0,0,0,0",2.1580956910951328e-101
"0,0,1,0,0 and 0,0,1,0,1",9.113696189965889e-41
"0,0,1,0,0 and 0,0,1,1,0",3.1942172526587184e-23
"0,0,1,0,0 and 0,0,1,1,1",1.7780296468785254e-29
"0,0,1,0,0 and 0,1,1,0,0",7.87557276144598e-17
"0,0,1,0,0 and 0,1,1,1,0",4.7073375200933315e-39
"0,0,1,0,0 and 0,1,1,1,1",1.9463295887299021e-38
"0,0,1,0,0 and 1,0,0,0,0",1.2663754939408108e-60
"0,0,1,0,1 and 0,0,1,1,0",9.754799603593758e-08
"0,0,1,0,1 and 0,0,1,1,1",7.051296645795795e-05
"0,0,1,0,1 and 0,1,1,0,0",0.1034448098993478
"0,0,1,0,1 and 0,1,1,1,0",0.10894128568529594
"0,0,1,0,1 and 0,1,1,1,1",0.005393750616366996
"0,0,1,0,1 and 1,0,0,0,0",2.119311812952489e-118
"0,0,1,1,0 and 0,0,1,1,1",0.014511147941468858
"0,0,1,1,0 and 0,1,1,0,0",6.757643191814379e-06
"0,0,1,1,0 and 0,1,1,1,0",6.65874608859241e-09
"0,0,1,1,0 and 0,1,1,1,1",2.8014319298460174e-12
"0,0,1,1,0 and 1,0,0,0,0",3.345766106352555e-98
"0,0,1,1,1 and 0,1,1,0,0",0.0005042954845539857
"0,0,1,1,1 and 0,1,1,1,0",0.00010296168100843512
"0,0,1,1,1 and 0,1,1,1,1",1.3349333125750556e-06
"0,0,1,1,1 and 1,0,0,0,0",9.556205500542199e-104
"0,1,1,0,0 and 0,1,1,1,0",0.6479015427061499
"0,1,1,0,0 and 0,1,1,1,1",0.06974498825732113
"0,1,1,0,0 and 1,0,0,0,0",3.943718552644238e-79
"0,1,1,1,0 and 0,1,1,1,1",0.02176317006657117
"0,1,1,1,0 and 1,0,0,0,0",7.936058186132032e-130
"0,1,1,1,1 and 1,0,0,0,0",8.517481910183693e-117
