Group,Best Parameters,Train R^2 (avg),Test R^2 (avg),Train RMSE,Test RMSE,Train MAPE,Test MAPE
"0,0,0,0,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.690859127590479,0.7747664130558638,0.44875579777285335,1.1479764329898694,0.03590793495210026,0.09338385106298054
"0,0,0,0,1","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.646842439143988,0.7783319022499464,0.4534558865351272,1.1059359485255111,0.038845788822457046,0.09045969754223353
"0,0,1,0,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.709799910416369,0.765499943310665,0.4865423140387106,1.4004395398617955,0.03565147519800521,0.10033896363895933
"0,0,1,0,1","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6989080923914571,0.7297339423297625,0.4641679274343634,1.403390013048965,0.035579346627822375,0.10325740837873616
"0,0,1,1,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6764580593193501,0.7584454783955513,0.45246378085011163,1.2183159924641294,0.03342021607513895,0.0894596679656186
"0,0,1,1,1","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6863238345478044,0.7475294367332096,0.4776385260009097,1.045487092104955,0.03424459888297656,0.09491743719958774
"0,1,1,0,0","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6797448976328673,0.7505538254224028,0.46585310460578644,1.2164796048931548,0.035951653410199895,0.09251033830477234
"0,1,1,1,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6699340693563396,0.7654415951309191,0.4281713405880675,1.172791730135311,0.032167032183422234,0.0857636413594094
"0,1,1,1,1","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6622970183486776,0.7507134895575023,0.4466327193232321,1.1293463574579774,0.03399074618263507,0.08484928650438846
"1,0,0,0,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.5001501420839257,0.5159231297574969,0.6766235443701629,2.2452022922964723,0.055207746535345194,0.15904046235788383
