Target,Group,Best Parameters,Train R^2 (avg),Test R^2 (avg),Train RMSE,Test RMSE,Train MAPE,Test MAPE
SHLT,"0,0,0,0,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6320146416243474,0.6937104828418534,0.2108260406910865,0.5678793095661929,0.17729147819782454,0.49059913579365083
SHLT,"0,0,0,0,1","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.5496184101976805,0.6885470930442643,0.22616205685728297,0.578614537308664,0.17926561902040336,0.43080520836670977
SHLT,"0,0,1,0,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6371864341194036,0.7052625288768505,0.20025750057620384,0.5340294080286151,0.1757445410730469,0.4904211237382349
SHLT,"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6100118544800005,0.6494136507577346,0.20433944466551013,0.5773616460132387,0.17997882691593606,0.4911405099440219
SHLT,"0,0,1,1,0","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6165286205922309,0.679623910878852,0.20137488165793496,0.5367519379969612,0.17747871893606282,0.4786516436999427
SHLT,"0,0,1,1,1","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.61401567078424,0.6532495829072713,0.21186621117557095,0.5747285527664026,0.18234523970251415,0.529727633844529
SHLT,"0,1,1,1,1","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6005890844265941,0.7183915421449436,0.21248932001942666,0.48214631111999384,0.19041025454139857,0.46703009251684663
SHLT,"1,0,0,0,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.47849623292684945,0.5323682337992377,0.2935873975865979,0.8001947630104035,0.23046039281992867,0.6785518313652908
MS+COG,"0,0,0,0,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6409453529161163,0.6571405834023677,0.18453537229470365,0.5296597213933097,0.4290673130804515,1.1162583832008708
MS+COG,"0,0,0,0,1","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.5666026921387276,0.7017629323109932,0.19415940303186974,0.47062536332194305,0.49540579973950305,1.0682069139058241
MS+COG,"0,0,1,0,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6337629371679782,0.6886874102371965,0.20375697478909843,0.5629187797217422,0.4085512095295902,1.1256129784548532
MS+COG,"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6390663754969044,0.6643855215490423,0.1734799482816931,0.48626737211816323,0.40567678081503067,1.044651390380882
MS+COG,"0,0,1,1,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.5979029571386858,0.686455704681757,0.1880077405712614,0.5104724544318168,0.4347798935714676,1.1137073602532093
MS+COG,"0,0,1,1,1","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.5810521146007199,0.7021825485923225,0.1907424691915416,0.4809410314980733,0.48658343851552754,1.5252665272841324
MS+COG,"0,1,1,1,1","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5957409453722419,0.6811152649407141,0.1725034195897142,0.4204871732380164,0.4404195889714039,1.0116739379921436
MS+COG,"1,0,0,0,0","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.4236334835649126,0.3927002179605622,0.2817609071298813,0.8870524955138972,1.065598523253065,4.8966095181711715
