,0,1,2,3
"(0.0, 0.0, 0.0, 0.0, 0.0)",0.9561150195247998,0.29749988135701055,0.6868551048689838,2.151600491032709
"(0.0, 0.0, 0.0, 0.0, 1.0)",0.9522066494912325,0.30881876602564123,0.6469541764707849,2.287411041666668
"(0.0, 0.0, 1.0, 0.0, 0.0)",0.9562375670380201,0.341656529817223,0.706917373207714,2.3275703293721715
"(0.0, 0.0, 1.0, 0.0, 1.0)",0.9578589916153801,0.33188701519497366,0.6737440328074829,2.575684491831135
"(0.0, 0.0, 1.0, 1.0, 0.0)",0.9564207307445214,0.3013374947946841,0.6891038781921012,2.1664729736814143
"(0.0, 0.0, 1.0, 1.0, 1.0)",0.9545536402055929,0.32576011064451516,0.6459429306013543,2.581822896086103
"(0.0, 1.0, 1.0, 0.0, 0.0)",0.951703051071774,0.33824199661590526,0.6447970561543688,2.4502000676818954
"(0.0, 1.0, 1.0, 1.0, 0.0)",0.9527560079673222,0.28420249987308605,0.7021837093251355,1.758167719401302
"(0.0, 1.0, 1.0, 1.0, 1.0)",0.9506484327336573,0.30171196437189396,0.659184978118197,2.1215427976307564
"(1.0, 0.0, 0.0, 0.0, 0.0)",0.9255755460242121,0.6351724727103453,0.5202458597248907,4.05765206479825
